,ID,POZO,E_Brent,VPN_incremental_porta,VPN_Total_porta,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,CA97,45,2086.1532,2086.1532,2086.1532,2086.1532,3.4205293541051014,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0
1,1,CA97,50,2086.1532,2086.1532,2601.053,2601.053,4.227021635103349,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,1266.6718427956712,4811.37164997935,0.0
2,2,CA97,55,2086.1532,2086.1532,3115.9527,3115.9527,5.033513916101597,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,1489.7124944315863,5549.312087092749,0.0
3,3,CA97,60,2086.1532,2086.1532,3630.8525,3630.8525,5.840006197099847,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,1712.7531460675004,6287.252524206147,0.0
4,4,CA97,65,2086.1532,2086.1532,4145.7523,4145.7523,6.646498478098094,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,1935.7937977034155,7025.192961319543,0.0
5,5,CA97,70,2086.1532,2086.1532,4660.6521,4660.6521,7.452990759096342,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,2158.8344493393306,7763.133398432939,0.0
6,6,CA97,75,2086.1532,2086.1532,5175.5519,5175.5519,8.259483040094592,960,0,47.4431,0.0,0.23925698921241567,0.23925698921241567,0.0,0.23925698921241567,0.23925698921241567,2045.0,2045.0,0.1745,0.1745,3.5309,3.5309,28.32276818401807,915.3240856757685,1043.631191159756,4073.431212865955,0.0,28.32276818401807,915.3240856757685,2381.8751009752445,8501.073835546338,0.0
7,7,CA92,45,-326.8809,-326.8809,-326.8809,-326.8809,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0
8,8,CA92,50,-326.8809,-326.8809,-325.6058,-325.6058,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,8.313373917645796,0.0
9,9,CA92,55,-326.8809,-326.8809,-324.3308,-324.3308,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,9.588431266977976,0.0
10,10,CA92,60,-326.8809,-326.8809,-323.0557,-323.0557,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,10.863488616310153,0.0
11,11,CA92,65,-326.8809,-326.8809,-321.7807,-321.7807,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,12.13854596564233,0.0
12,12,CA92,70,-326.8809,-326.8809,-320.5056,-320.5056,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,13.413603314974505,0.0
13,13,CA92,75,-326.8809,-326.8809,-319.2305,-319.2305,0.0,350,0,0.6072,0.0,0.0008480629974264247,0.0008480629974264247,0.0,0.0008480629974264247,0.0008480629974264247,2045.0,2045.0,0.63,0.63,363.1806,363.1806,0.20729747769840157,333.71190623595726,0.0,7.03831656831362,0.0,0.20729747769840157,333.71190623595726,0.0,14.688660664306683,0.0
14,14,CA91,45,148.9561,148.9561,148.9561,148.9561,0.7921932982772989,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0
15,15,CA91,50,148.9561,148.9561,226.4312,226.4312,1.1245355006708997,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,149.16364867125208,723.7349673084963,0.0
16,16,CA91,55,148.9561,148.9561,303.9063,303.9063,1.4568777030645,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,182.69081423630183,834.7372629079589,0.0
17,17,CA91,60,148.9561,148.9561,381.3815,381.3815,1.7892199054581013,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,216.21797980135156,945.7395585074215,0.0
18,18,CA91,65,148.9561,148.9561,458.8566,458.8566,2.1215621078517017,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,249.74514536640126,1056.7418541068841,0.0
19,19,CA91,70,148.9561,148.9561,536.3317,536.3317,2.4539043102453024,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,283.27231093145093,1167.744149706347,0.0
20,20,CA91,75,148.9561,148.9561,613.8069,613.8069,2.786246512638902,350,0,23.6565,0.0,0.03606477059365517,0.03606477059365517,0.0,0.03606477059365517,0.03606477059365517,2045.0,2045.0,0.5772,0.5772,8.5402,8.5402,14.428203848458608,333.71190623595726,115.63648310620236,612.7326717090338,0.0,14.428203848458608,333.71190623595726,316.7994764965008,1278.7464453058094,0.0
21,21,CA597,45,85.257,85.257,85.257,85.257,0.4802167190404445,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0
22,22,CA597,50,85.257,85.257,150.3184,150.3184,0.7595458774163051,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,103.36996239646695,608.2895216119441,0.0
23,23,CA597,55,85.257,85.257,215.3797,215.3797,1.0388750357921657,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,131.60457017554842,701.5854605094814,0.0
24,24,CA597,60,85.257,85.257,280.441,280.441,1.3182041941680265,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,159.83917795462972,794.8813994070192,0.0
25,25,CA597,65,85.257,85.257,345.5024,345.5024,1.597533352543887,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,188.07378573371093,888.1773383045563,0.0
26,26,CA597,70,85.257,85.257,410.5637,410.5637,1.876862510919747,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,216.30839351279246,981.4732772020939,0.0
27,27,CA597,75,85.257,85.257,475.625,475.625,2.1561916692956076,350,0,29.5932,0.0,0.026566016361533145,0.026566016361533145,0.0,0.026566016361533145,0.026566016361533145,2045.0,2045.0,0.9803,0.9803,11.5938,11.5938,20.889292318940914,333.71190623595726,75.13535461738563,514.9935827144068,0.0,20.889292318940914,333.71190623595726,244.54300129187365,1074.7692160996312,0.0
28,28,CA52,45,-913.6396,-913.6396,-913.6396,-913.6396,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0
29,29,CA52,50,-913.6396,-913.6396,-913.3268,-913.3268,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,2.0392555879497745,0.0
30,30,CA52,55,-913.6396,-913.6396,-913.0141,-913.0141,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,2.3520248499052614,0.0
31,31,CA52,60,-913.6396,-913.6396,-912.7013,-912.7013,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,2.6647941118607483,0.0
32,32,CA52,65,-913.6396,-913.6396,-912.3885,-912.3885,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,2.9775633738162353,0.0
33,33,CA52,70,-913.6396,-913.6396,-912.0757,-912.0757,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,3.2903326357717217,0.0
34,34,CA52,75,-913.6396,-913.6396,-911.763,-911.763,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,3.6031018977272087,0.0
35,35,CA426,45,-241.5991,-241.5991,-241.5991,-241.5991,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0
36,36,CA426,50,-241.5991,-241.5991,-224.2151,-224.2151,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,113.34427058814452,0.0
37,37,CA426,55,-241.5991,-241.5991,-206.831,-206.831,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,130.7283611691483,0.0
38,38,CA426,60,-241.5991,-241.5991,-189.4469,-189.4469,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,148.11245175015208,0.0
39,39,CA426,65,-241.5991,-241.5991,-172.0628,-172.0628,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,165.49654233115578,0.0
40,40,CA426,70,-241.5991,-241.5991,-154.6787,-154.6787,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,182.8806329121596,0.0
41,41,CA426,75,-241.5991,-241.5991,-137.2946,-137.2946,0.0,350,0,4.5988,0.0,0.0043858939278032995,0.0043858939278032995,0.0,0.0043858939278032995,0.0043858939278032995,2045.0,2045.0,0.9227,0.9227,70.2251,70.2251,3.847418479178259,333.71190623595726,0.0,95.96018000714078,0.0,3.847418479178259,333.71190623595726,0.0,200.2647234931633,0.0
42,42,CA405,45,2852.1453,2852.1453,2852.1453,2852.1453,4.58336108351023,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0
43,43,CA405,50,2852.1453,2852.1453,3500.5327,3500.5327,5.599380253002201,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,1622.9002401197786,6061.367161355202,0.0
44,44,CA405,55,2852.1453,2852.1453,4148.92,4148.92,6.615399422494171,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,1904.1704302047613,6991.024701440355,0.0
45,45,CA405,60,2852.1453,2852.1453,4797.3074,4797.3074,7.631418591986144,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,2185.440620289742,7920.682241525508,0.0
46,46,CA405,65,2852.1453,2852.1453,5445.6947,5445.6947,8.647437761478118,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,2466.710810374724,8850.33978161066,0.0
47,47,CA405,70,2852.1453,2852.1453,6094.0821,6094.0821,9.663456930970085,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,2747.9810004597057,9779.997321695815,0.0
48,48,CA405,75,2852.1453,2852.1453,6742.4694,6742.4694,10.679476100462052,960,0,33.5794,0.0,0.26455608337219916,0.26455608337219916,0.0,0.26455608337219916,0.26455608337219916,2045.0,2045.0,0.1117,0.1117,3.1933,3.1933,22.610144182418605,915.3240856757685,1341.630050034797,5131.70962127005,0.0,22.610144182418605,915.3240856757685,3029.2511905446886,10709.65486178097,0.0
49,49,CA231,45,-913.6396,-913.6396,-913.6396,-913.6396,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0
50,50,CA231,50,-913.6396,-913.6396,-913.3268,-913.3268,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,2.0392555879497745,0.0
51,51,CA231,55,-913.6396,-913.6396,-913.0141,-913.0141,0.0,960,0,0.4338,0.0,0.0006462117453205437,0.0006462117453205437,0.0,0.0006462117453205437,0.0006462117453205437,2045.0,2045.0,0.5907,0.5907,1307.3114,1307.3114,0.04199013125976286,915.3240856757685,0.0,1.7264863259942878,0.0,0.04199013125976286,915.3240856757685,0.0,2.3520248499052614,0.0
